Make,Model,Year,Sales,annual fuel consumption,annual fuel consumption (f2),T to charge120,T to charge240,mpg city,mpg city (f2),phev city gpm/100,city epm/100 ,co2,co2(f2),co2TailpipeAGpm,mpg comb,mpg comb(f2),combinedCD GPM/100,cylinders,displ,drive,fuelCost,fuelCostA08,fuelType,mpg highway,highwayA08,elec compumption kw/100m,LV,PV,id,trany,UCity,UHighway,VClass,year,youSaveSpend,evMotor (0 for non electric),mfrCode,charge240b,mpg City total,mpg Hwy total,mpg Comb total,MSRP Low,MSRP High
Acura,CL,2000,24677,16.4805,0,0,0,17,0,0,0,444.35,-1,0,20,0,0,6,3.2,Front-Wheel Drive,2450,0,Gasoline,27,0,0,14,90,16573,Automatic,21.3967,37.4409,Compact Cars,2001,-4750,,,0,17,27,20,0,0
Acura,CL,2001,18993,16.4805,0,0,0,17,0,0,0,444.35,-1,0,20,0,0,6,3.2,Front-Wheel Drive,2450,0,Gasoline,27,0,0,14,90,16573,Automatic,21.3967,37.4409,Compact Cars,2001,-4750,,,0,17,27,20,0,0
Acura,CL,2002,12072,15.69571429,0,0,0,17,0,0,0,423.1904762,-1,0,21,0,0,6,3.2,Front-Wheel Drive,2350,0,Gasoline,27,0,0,14,90,17489,Automatic,21.6661,37.3706,Compact Cars,2002,-4250,,,0,17,27,21,0,0
Acura,CL,2003,6593,15.69571429,0,0,0,17,0,0,0,423.1904762,-1,0,21,0,0,6,3.2,Front-Wheel Drive,2350,0,Gasoline,27,0,0,14,90,18459,Automatic,21.6719,37.33,Compact Cars,2003,-4250,,,0,17,27,21,0,0
Acura,CL,2004,283,15.69571429,0,0,0,17,0,0,0,423.1904762,-1,0,21,0,0,6,3.2,Front-Wheel Drive,2350,0,Gasoline,27,0,0,14,90,18459,Automatic,21.6719,37.33,Compact Cars,2003,-4250,,,0,17,27,21,0,0
Acura,CL,2005,1,15.69571429,0,0,0,17,0,0,0,423.1904762,-1,0,21,0,0,6,3.2,Front-Wheel Drive,2350,0,Gasoline,27,0,0,14,90,18459,Automatic,21.6719,37.33,Compact Cars,2003,-4250,,,0,17,27,21,0,0
Acura,CL,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,CL,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,ILX,2012,12251,12.20777778,0,0,0,24,0,0,0,322,-1,0,27,0,0,4,2,Front-Wheel Drive,1850,0,Gasoline,34,0,0,12,89,33146,Automatic,30.3,49.7,Compact Cars,2013,-1750,,HNX,0,24,34,27,26200,31150
